time,pos_x,pos_y,twist_x,twist_y,twist_z
1627328902.623628855,0.000000000,0.000000000,11.613000000,-2.999600000,0.000000000
1627328902.623641253,0.000000000,0.000000000,11.613500000,-2.991700000,0.000000000
1627328902.623652458,0.000000000,0.000000000,11.614100000,-2.983900000,0.000000000
1627328902.667612076,0.000000000,0.000000000,11.614600000,-2.975200000,0.000000000
1627328902.667639017,0.000000000,0.000000000,11.613100000,-2.970200000,0.000000000
1627328902.667650938,0.000000000,0.000000000,11.613600000,-2.962800000,0.000000000
1627328902.667659998,0.000000000,0.000000000,11.611800000,-2.955500000,0.000000000
1627328902.670738220,0.000000000,0.000000000,11.611400000,-2.949100000,0.000000000
1627328902.680850506,0.000000000,0.000000000,11.612200000,-2.940700000,0.000000000
1627328902.723642349,0.000000000,0.000000000,11.611300000,-2.931100000,0.000000000
1627328902.723655462,0.000000000,0.000000000,11.609100000,-2.923200000,0.000000000
1627328902.723664999,0.000000000,0.000000000,11.607200000,-2.915200000,0.000000000
1627328902.723675013,0.000000000,0.000000000,11.605700000,-2.907500000,0.000000000
1627328902.767611980,0.000000000,0.000000000,11.606400000,-2.900400000,0.000000000
1627328902.767623663,0.000000000,0.000000000,11.606800000,-2.893600000,0.000000000
1627328902.767632484,0.000000000,0.000000000,11.606900000,-2.885100000,0.000000000
1627328902.767641068,0.000000000,0.000000000,11.605800000,-2.875600000,0.000000000
1627328902.811587095,0.000000000,0.000000000,11.603800000,-2.864900000,0.000000000
1627328902.811594725,0.000000000,0.000000000,11.601000000,-2.854800000,0.000000000
1627328902.811605692,0.000000000,0.000000000,11.601500000,-2.846200000,0.000000000
1627328902.811631441,0.000000000,0.000000000,11.604400000,-2.836300000,0.000000000
1627328902.811647654,0.000000000,0.000000000,11.605100000,-2.824800000,0.000000000
1627328902.855625391,0.000000000,0.000000000,11.604300000,-2.812400000,0.000000000
1627328902.855637789,0.000000000,0.000000000,11.604300000,-2.800000000,0.000000000
1627328902.855663300,0.000000000,0.000000000,11.603400000,-2.787400000,0.000000000
1627328902.855676651,0.000000000,0.000000000,11.605600000,-2.776600000,0.000000000
1627328902.860800743,0.000000000,0.000000000,11.606900000,-2.765200000,0.000000000
1627328902.870778084,0.000000000,0.000000000,11.606100000,-2.752600000,0.000000000
1627328902.911600828,0.000000000,0.000000000,11.605900000,-2.740600000,0.000000000
1627328902.911612988,0.000000000,0.000000000,11.606200000,-2.728400000,0.000000000
1627328902.911626339,0.000000000,0.000000000,11.606800000,-2.714900000,0.000000000
1627328902.911634445,0.000000000,0.000000000,11.607500000,-2.699900000,0.000000000
1627328902.955613375,0.000000000,0.000000000,11.608900000,-2.687600000,0.000000000
1627328902.955636978,0.000000000,0.000000000,11.607900000,-2.673700000,0.000000000
1627328902.955649137,0.000000000,0.000000000,11.608000000,-2.660000000,0.000000000
1627328902.955658436,0.000000000,0.000000000,11.608300000,-2.647700000,0.000000000
1627328902.999602795,0.000000000,0.000000000,11.608500000,-2.634100000,0.000000000
1627328902.999615669,0.000000000,0.000000000,11.609700000,-2.621900000,0.000000000
1627328902.999629974,0.000000000,0.000000000,11.611400000,-2.610700000,0.000000000
1627328902.999642849,0.000000000,0.000000000,11.611600000,-2.596300000,0.000000000
1627328903.043608427,0.000000000,0.000000000,11.611200000,-2.583400000,0.000000000
1627328903.043627024,0.000000000,0.000000000,11.611000000,-2.571200000,0.000000000
1627328903.043639421,0.000000000,0.000000000,11.611100000,-2.557200000,0.000000000
1627328903.043652296,0.000000000,0.000000000,11.612900000,-2.544700000,0.000000000
1627328903.043664455,0.000000000,0.000000000,11.614800000,-2.532100000,0.000000000
1627328903.087599039,0.000000000,0.000000000,11.614500000,-2.520200000,0.000000000
1627328903.087615490,0.000000000,0.000000000,11.615300000,-2.508700000,0.000000000
1627328903.087628126,0.000000000,0.000000000,11.615400000,-2.496700000,0.000000000
1627328903.087647676,0.000000000,0.000000000,11.615200000,-2.483100000,0.000000000
1627328903.090644360,0.000000000,0.000000000,11.616400000,-2.470900000,0.000000000
1627328903.100802183,0.000000000,0.000000000,11.617300000,-2.458400000,0.000000000
1627328903.143588543,0.000000000,0.000000000,11.616800000,-2.444900000,0.000000000
1627328903.143600941,0.000000000,0.000000000,11.618400000,-2.432500000,0.000000000
1627328903.143614292,0.000000000,0.000000000,11.620400000,-2.420700000,0.000000000
1627328903.143624067,0.000000000,0.000000000,11.621100000,-2.406900000,0.000000000
1627328903.187606573,0.000000000,0.000000000,11.622100000,-2.393400000,0.000000000
1627328903.187621832,0.000000000,0.000000000,11.623600000,-2.379700000,0.000000000
1627328903.187633038,0.000000000,0.000000000,11.623200000,-2.365800000,0.000000000
